"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2018-11-18","458","460","455","455","-0.66","2027"
"BPCL","2018-11-19","456","456","450","450","-1.32","1628"
"BPCL","2018-11-20","452","454","443","443","-1.99","3087"
"BPCL","2018-11-21","444","450","437","450","1.35","1876"
"BPCL","2018-11-22","450","469","442","469","4.22","660"
"BPCL","2018-11-25","469","469","445","447","-4.69","920"
"BPCL","2018-11-26","447.19","447.19","442","444","-0.71","1460"
"BPCL","2018-11-27","443.33","449","440","441","-0.53","1760"
"BPCL","2018-11-28","441","448","436","437","-0.91","2011"
"BPCL","2018-11-29","438.36","438.36","434","437","-0.31","1579"
"BPCL","2018-12-02","434.52","442","431","442","1.72","3450"
"BPCL","2018-12-03","442","448","427","434","-1.81","17639"
"BPCL","2018-12-04","434","435","428","434","0.00","735"
"BPCL","2018-12-06","426","434","415","429","0.70","3660"
"BPCL","2018-12-09","429","440","429","437","1.86","11748"
"BPCL","2018-12-10","437","447","437","438","0.23","4890"
"BPCL","2018-12-11","438","440","432","436","-0.46","4871"
"BPCL","2018-12-12","436","440","429","431","-1.15","2690"
"BPCL","2018-12-13","431","440","431","438","1.62","3622"
"BPCL","2018-12-16","438","446","437","438","0.00","3431"
"BPCL","2018-12-17","438","445","435","445","1.60","4532"
"BPCL","2018-12-18","445","452","426","432","-2.92","3955"
"BPCL","2018-12-19","432","440","425","438","1.39","1630"
"BPCL","2018-12-20","438","454","438","439","0.23","16500"
"BPCL","2018-12-23","399.09","405","388","394","-1.28","5541"
"BPCL","2018-12-24","394","399","385","389","-1.27","4544"
"BPCL","2018-12-25","389","390","377","378","-2.83","3560"
"BPCL","2018-12-26","378","385","372","382","1.06","4753"
"BPCL","2018-12-27","382","387","375","375","-1.83","6523"
"BPCL","2018-12-30","375","377","373","377","0.53","4055"
"BPCL","2018-12-31","377","381","373","381","1.06","1490"
"BPCL","2019-01-01","381","382","375","375","-1.57","1927"
"BPCL","2019-01-02","375","380","373","375","0.00","2693"
"BPCL","2019-01-03","375","375","370","373","-0.53","800"
"BPCL","2019-01-06","373","374","370","374","0.27","590"
"BPCL","2019-01-07","374","374","369","370","-1.07","2343"
"BPCL","2019-01-08","370","373","370","370","0.00","1880"
"BPCL","2019-01-09","370","376","366","370","0.00","918"
"BPCL","2019-01-10","370","370","366","369","-0.27","6430"
